fare_amount,dayofweek,hourofday,pickuplon,pickuplat,dropofflon,dropofflat,passengers,key
2.5,Tue,0,-73.992915,40.748117,-73.993393,40.748362,1.0,key
2.5,Sun,1,-73.983742,40.726126,-73.95406,40.778165,2.0,key
2.5,Tue,1,-73.989667,40.756797,-73.989452,40.756792,1.0,key
2.5,Fri,1,-73.874458,40.773958,-73.87455,40.774072,1.0,key
2.5,Fri,1,-73.997355,40.755385,-73.997013,40.755297,1.0,key
2.5,Fri,1,-74.002438,40.749772,-74.002445,40.749908,1.0,key
2.5,Sat,2,-73.995522,40.721737,-73.99499,40.721432,1.0,key
2.5,Sat,3,-73.998042,40.732967,-73.996952,40.732535,1.0,key
2.5,Thu,5,-73.898038,40.7604,-73.89826,40.760255,1.0,key
2.5,Tue,5,-73.975854,40.750163,-73.781109,40.644777,2.0,key
2.5,Thu,6,-73.991412,40.749202,-74.000875,40.72567,1.0,key
2.5,Wed,6,-73.974782,40.746052,-73.973138,40.745588,5.0,key
2.5,Mon,6,-73.978354,40.753444,-73.971723,40.763929,1.0,key
2.5,Thu,6,-73.855778,40.738019,-73.855762,40.738018,1.0,key
2.5,Tue,7,-73.946529,40.784176,-73.944558,40.783102,1.0,key
2.5,Mon,7,-73.928977,40.762847,-73.951577,40.733366,1.0,key
2.5,Thu,8,-73.997632,40.724398,-73.997925,40.723842,1.0,key
2.5,Sat,9,-73.986632,40.771886,-73.993905,40.756567,1.0,key
2.5,Tue,9,-73.987708,40.760692,-73.986312,40.76242,2.0,key
2.5,Sun,9,-73.991512,40.735056,-73.991274,40.734948,1.0,key
2.5,Tue,10,-73.990693,40.75586,-73.989955,40.75601,1.0,key
2.5,Tue,10,-73.970482,40.748153,-73.969062,40.749873,5.0,key
2.5,Wed,10,-73.983989,40.740108,-73.983291,40.739006,1.0,key
2.5,Sat,13,-73.969002,40.790872,-73.94594,40.781567,2.0,key
2.5,Fri,13,-73.989222,40.758806,-73.989222,40.758806,1.0,key
2.5,Thu,13,-74.00581,40.706465,-74.00558,40.741072,5.0,key
2.5,Sat,13,-73.97946,40.764185,-73.97946,40.764185,1.0,key
2.5,Sat,14,-73.787277,40.644015,-73.787277,40.644015,2.0,key
2.5,Sun,14,-73.968605,40.75695,-73.969633,40.758427,1.0,key
2.5,Wed,14,-73.984672,40.742373,-73.984398,40.742712,1.0,key
2.5,Tue,14,-73.995018,40.754953,-73.137393,41.366138,1.0,key
2.5,Tue,15,-73.963151,40.764317,-73.954708,40.770637,4.0,key
2.5,Wed,16,-73.992858,40.753455,-73.992833,40.753557,5.0,key
2.5,Thu,17,-73.987138,40.687918,-73.987237,40.687957,1.0,key
2.5,Sat,18,-73.984707,40.758763,-73.985128,40.758805,1.0,key
2.5,Wed,19,-73.992143,40.758988,-73.992285,40.75839,1.0,key
2.5,Sun,21,-73.998044,40.750925,-73.951158,40.789191,1.0,key
2.5,Thu,21,-73.9881,40.737827,-73.988282,40.737785,1.0,key
2.5,Mon,21,-73.97278,40.759007,-73.973095,40.758425,1.0,key
2.5,Tue,22,-73.99873,40.73913,-73.99943,40.73848,2.0,key
2.5,Sat,23,-73.99242,40.749732,-73.99259,40.749702,2.0,key
2.5,Sat,23,-73.967421,40.756262,-73.990209,40.775635,1.0,key
2.5,Sun,23,-73.975855,40.686907,-73.976275,40.687092,1.0,key
3,Tue,0,-73.991147,40.7301,-73.989958,40.734191,1.0,key
3,Fri,0,-73.976197,40.751592,-73.97502,40.75063,1.0,key
3,Sat,0,-73.883125305175781,40.7557487487793,-73.879226684570312,40.756153106689453,1.0,key
3,Wed,1,-73.987133,40.729235,-73.988897,40.726883,2.0,key
3,Sun,2,-73.988996,40.721567,-73.986542,40.725971,2.0,key
3,Fri,3,-73.980545043945312,40.7383918762207,-73.982650756835938,40.735443115234375,1.0,key
3,Thu,3,-73.99606,40.767257,-73.995897,40.767732,1.0,key
3,Sat,4,-73.982315063476562,40.723487854003906,-73.9776840209961,40.724361419677734,2.0,key
3,Tue,5,-73.999775,40.726933,-73.996043,40.726722,1.0,key
3,Sun,5,-73.990603,40.734879,-73.996773,40.737353,1.0,key
3,Thu,6,-73.976768493652344,40.755577087402344,-73.974403381347656,40.759666442871094,1.0,key
3,Tue,7,-73.994857,40.739987,-73.993092,40.742342,2.0,key
3,Tue,7,-73.97204,40.754187,-73.969977,40.756972,3.0,key
3,Mon,8,-73.97045,40.756187,-73.968767,40.758357,1.0,key
3,Fri,8,-73.97264,40.749245,-73.973053,40.748697,2.0,key
3,Sat,8,-73.953323364257812,40.771461486816406,-73.953071594238281,40.774360656738281,5.0,key
3,Thu,8,-73.982352,40.774522,-73.982015,40.778882,1.0,key
3,Thu,8,-73.969425,40.766127,-73.966117,40.770855,1.0,key
3,Thu,8,-73.983633,40.738603,-73.981219,40.741557,2.0,key
3,Thu,8,-74.010057,40.721287,-74.01052,40.718017,1.0,key
3,Sat,8,-73.95701,40.774757,-73.953642,40.779432,3.0,key
3,Sun,9,-73.994544982910156,40.735027313232422,-73.994544982910156,40.735027313232422,1.0,key
3,Fri,9,-73.987295,40.754912,-73.989482,40.752817,1.0,key
3,Sat,10,-74.006025,40.735299,-74.002746,40.739348,1.0,key
3,Wed,10,-73.981748,40.7496,-73.97934,40.752029,1.0,key
3,Wed,12,-73.971450805664062,40.763229370117188,-73.967422485351562,40.764389038085938,1.0,key
3,Mon,12,-73.96466064453125,40.807144165039062,-73.96636962890625,40.804813385009766,2.0,key
3,Sat,13,-73.982773,40.73116,-73.981178,40.733312,1.0,key
3,Mon,13,-73.999622,40.748601,-74.002116,40.745514,1.0,key
3,Mon,14,-73.844055,40.721817,-73.847188,40.722656,1.0,key
3,Thu,14,-73.98397,40.738422,-73.983982,40.737732,2.0,key
3,Sat,15,-73.9782485961914,40.748607635498047,-73.980995178222656,40.74603271484375,1.0,key
3,Thu,15,-73.99333,40.762712,-73.98973,40.763947,1.0,key
3,Sun,16,-73.985237,40.763097,-73.984347,40.764447,1.0,key
3,Thu,16,-73.991246,40.739218,-73.993337,40.73671,1.0,key
3,Tue,18,-73.972908020019531,40.749191284179688,-73.972938537597656,40.7462158203125,3.0,key
3,Thu,19,-73.94922,40.776774,-73.953758,40.778598,1.0,key
3,Mon,21,-73.986457,40.726047,-73.98437,40.728932,6.0,key
3,Tue,21,-73.985422,40.778272,-73.983037,40.777472,3.0,key
3,Fri,21,-73.969123,40.766952,-73.96874,40.76463,1.0,key
3,Sat,22,-73.971511840820312,40.7947883605957,-73.969367980957031,40.798076629638672,1.0,key
3,Thu,22,-73.966827392578125,40.763816833496094,-73.971595764160156,40.765571594238281,1.0,key
3,Sun,22,-73.988843,40.722083,-73.990146,40.723193,1.0,key
3,Sat,22,-73.971909,40.760612,-73.973644,40.757165,2.0,key
3,Tue,23,-73.995185852050781,40.760402679443359,-73.998786926269531,40.760280609130859,2.0,key
3,Wed,23,-74.004066,40.725488,-74.002305,40.72431,1.0,key
3,Sat,23,-74.0091,40.716447,-74.008817,40.718607,2.0,key
3,Tue,23,-73.967284,40.756741,-73.970601,40.753076,2.0,key
3.5,Fri,0,-73.995232,40.757515,-73.995232,40.757515,1.0,key
3.5,Fri,0,-73.988322,40.749947,-73.990845,40.751165,5.0,key
3.5,Wed,0,-74.00397,40.731935,-74.004631,40.730521,2.0,key
3.5,Wed,0,-73.996913,40.73711,-73.999736,40.738258,1.0,key
3.5,Wed,0,-73.979709,40.751275,-73.981735,40.747018,2.0,key
3.5,Fri,0,-73.980015,40.785683,-73.983692,40.780762,1.0,key
3.5,Sat,1,-73.991196,40.760576,-73.997182,40.756237,2.0,key
3.5,Sun,1,-74.009918212890625,40.705223083496094,-74.0089111328125,40.709236145019531,1.0,key
3.5,Sat,1,-73.982102,40.778357,-73.988491,40.77854,1.0,key
3.5,Wed,1,-73.980457,40.742418,-73.981311,40.747283,1.0,key
3.5,Sat,2,-73.980668,40.759652,-73.976547,40.764282,1.0,key
3.5,Sat,2,-73.989092,40.760312,-73.98723,40.760605,1.0,key
3.5,Thu,3,-74.006463,40.741222,-74.007625,40.742917,1.0,key
3.5,Mon,3,-73.986663,40.756747,-73.990788,40.750675,1.0,key
3.5,Fri,3,-73.982657,40.727362,-73.987032,40.729067,1.0,key
3.5,Thu,4,-73.937715,40.758277,-73.97125,40.74796,1.0,key
3.5,Sat,4,-73.997566223144531,40.725662231445312,-73.991226196289062,40.723354339599609,2.0,key
3.5,Sat,4,-73.94034,40.751177,-73.945438,40.750742,1.0,key
3.5,Thu,4,-73.991482,40.754677,-73.988867,40.758442,1.0,key
3.5,Wed,6,-73.977985,40.755252,-73.981607,40.76054,1.0,key
3.5,Thu,6,-73.984367370605469,40.74560546875,-73.979240417480469,40.752426147460938,1.0,key
3.5,Wed,6,-73.964035,40.764127,-73.959345,40.767497,1.0,key
3.5,Thu,6,-73.97528,40.755135,-73.973932,40.75623,2.0,key
3.5,Thu,6,-73.976517,40.756372,-73.974853,40.75997,1.0,key
3.5,Fri,7,-73.990682,40.740157,-73.994854,40.734331,1.0,key
3.5,Mon,7,-73.95343017578125,40.785224914550781,-73.947372436523438,40.782638549804688,1.0,key
3.5,Thu,7,-73.988442,40.743123,-73.991801,40.738155,1.0,key
3.5,Tue,7,-73.98232,40.762622,-73.981652,40.758807,5.0,key
3.5,Thu,7,-73.975659,40.752011,-73.976671,40.74832,1.0,key
3.5,Wed,7,-73.949256896972656,40.781520843505859,-73.954849243164062,40.780216217041016,1.0,key
3.5,Fri,8,-73.991767,40.769552,-73.988585,40.768262,1.0,key
3.5,Thu,8,-73.95526,40.77672,-73.95642,40.7797,1.0,key
3.5,Tue,8,-73.991905,40.73132,-73.996939,40.725167,1.0,key
3.5,Sat,8,-73.956418,40.780027,-73.956865,40.783487,1.0,key
3.5,Fri,8,-73.97496,40.751102,-73.973538,40.747132,1.0,key
3.5,Mon,8,-73.994975,40.746385,-73.988612,40.74372,1.0,key
3.5,Mon,8,-73.957928,40.762042,-73.956962,40.762362,1.0,key
3.5,Tue,8,-73.978808,40.766889,-73.982313,40.768422,1.0,key
3.5,Fri,8,-73.979845,40.739387,-73.983523,40.734355,1.0,key
3.5,Fri,8,-74.005682,40.706337,-74.007915,40.704732,2.0,key
3.5,Mon,8,-73.964342,40.807457,-73.966682,40.804532,1.0,key
3.5,Fri,8,-73.985117,40.755222,-73.98638,40.752352,6.0,key
3.5,Fri,8,-73.991495,40.765402,-73.988617,40.769132,1.0,key
3.5,Thu,8,-73.956268,40.784327,-73.953327,40.788137,5.0,key
3.5,Wed,8,-73.993221,40.762672,-73.988849,40.768641,1.0,key
3.5,Wed,9,-73.98828,40.755653,-73.991355,40.750137,2.0,key
3.5,Wed,9,-73.998853,40.761155,-74.00078,40.758193,1.0,key
3.5,Fri,9,-73.996575,40.737722,-73.998707,40.739922,4.0,key
3.5,Wed,9,-73.951364,40.777753,-73.956278,40.779862,1.0,key
3.5,Wed,10,-73.984334,40.75446,-73.981386,40.752404,1.0,key
3.5,Fri,10,-73.965203,40.806223,-73.962022,40.810722,1.0,key
3.5,Sat,10,-73.982693,40.739446,-73.97836,40.745522,1.0,key
3.5,Tue,11,-73.987307,40.729238,-73.99181,40.722457,1.0,key
3.5,Sat,11,-73.989322,40.769385,-73.985493,40.768677,1.0,key
3.5,Sun,12,-73.949949,40.784202,-73.955168,40.780059,1.0,key
3.5,Mon,12,-73.990707397460938,40.745571136474609,-73.987709045410156,40.750175476074219,1.0,key
3.5,Wed,12,-73.954645,40.778063,-73.951351,40.779118,1.0,key
3.5,Sat,13,-74.002717,40.733882,-74.005185,40.73185,1.0,key
3.5,Sun,13,-73.985041,40.721769,-73.980345,40.72216,2.0,key
3.5,Sat,13,-73.946252,40.777595,-73.946608,40.780652,1.0,key
3.5,Tue,13,-73.963103,40.771844,-73.960552,40.77314,1.0,key
3.5,Sat,13,-73.974872,40.745167,-73.978947,40.740217,1.0,key
3.5,Sat,13,-73.968682,40.79121,-73.973527,40.78703,5.0,key
3.5,Sat,13,-73.960448,40.813057,-73.962165,40.810627,3.0,key
3.5,Sat,13,-73.956792,40.774965,-73.954447,40.778775,2.0,key
